table_schema,table_name,column_name,data_type,is_nullable,column_default,ordinal_position,column_comment
archive,archive_log,id,integer,NO,nextval('archive.archive_log_id_seq'::regclass),1,Id.
archive,archive_log,original_schema,text,NO,,2,Original schema.
archive,archive_log,original_table,text,NO,,3,Original table.
archive,archive_log,archived_at,timestamp with time zone,YES,now(),4,Timestamp when this record was moved to archive.
archive,archive_log,archived_by,text,YES,'claude-cleanup'::text,5,Archived by. May be NULL.
archive,archive_log,row_count,bigint,YES,,6,Count of row.
archive,archive_log,notes,text,YES,,7,Free text notes.
archive,bit_authorization_log_ctb,log_id,uuid,YES,,1,Identifier for log.
archive,bit_authorization_log_ctb,company_unique_id,text,YES,,2,Company identifier. May be UUID (sovereign) or text (Barton ID) depending on table.
archive,bit_authorization_log_ctb,requested_action,text,YES,,3,Requested action. May be NULL.
archive,bit_authorization_log_ctb,requested_band,integer,YES,,4,Requested band. May be NULL.
archive,bit_authorization_log_ctb,authorized,boolean,YES,,5,Whether authorized. Boolean.
archive,bit_authorization_log_ctb,actual_band,integer,YES,,6,Actual band. May be NULL.
archive,bit_authorization_log_ctb,denial_reason,text,YES,,7,Reason for denial.
archive,bit_authorization_log_ctb,proof_id,text,YES,,8,Identifier for proof.
archive,bit_authorization_log_ctb,proof_valid,boolean,YES,,9,Whether proof valid. Boolean.
archive,bit_authorization_log_ctb,requested_at,timestamp with time zone,YES,,10,Timestamp when requested occurred.
archive,bit_authorization_log_ctb,requested_by,text,YES,,11,Requested by. May be NULL.
archive,bit_authorization_log_ctb,correlation_id,text,YES,,12,UUID linking this record to the broader operation for audit trail.
archive,bit_authorization_log_ctb,ctb_archived_at,timestamp with time zone,YES,,13,Timestamp when ctb archived occurred.
archive,bit_phase_state_ctb,company_unique_id,text,YES,,1,Company identifier. May be UUID (sovereign) or text (Barton ID) depending on table.
archive,bit_phase_state_ctb,current_band,integer,YES,,2,Current band. May be NULL.
archive,bit_phase_state_ctb,phase_status,text,YES,,3,Status of phase.
archive,bit_phase_state_ctb,dol_active,boolean,YES,,4,Whether dol active. Boolean.
archive,bit_phase_state_ctb,people_active,boolean,YES,,5,Whether people active. Boolean.
archive,bit_phase_state_ctb,blog_active,boolean,YES,,6,Whether blog active. Boolean.
archive,bit_phase_state_ctb,primary_pressure,text,YES,,7,Primary pressure. May be NULL.
archive,bit_phase_state_ctb,aligned_domains,integer,YES,,8,Aligned domains. May be NULL.
archive,bit_phase_state_ctb,last_movement_at,timestamp with time zone,YES,,9,Timestamp of last movement detected.
archive,bit_phase_state_ctb,last_band_change_at,timestamp with time zone,YES,,10,Timestamp of last authorization band change.
archive,bit_phase_state_ctb,phase_entered_at,timestamp with time zone,YES,,11,Timestamp when phase entered occurred.
archive,bit_phase_state_ctb,stasis_start,timestamp with time zone,YES,,12,Stasis start. May be NULL.
archive,bit_phase_state_ctb,stasis_years,numeric,YES,,13,Stasis years. May be NULL.
archive,bit_phase_state_ctb,updated_at,timestamp with time zone,YES,,14,Timestamp of last modification to this record.
archive,bit_phase_state_ctb,ctb_archived_at,timestamp with time zone,YES,,15,Timestamp when ctb archived occurred.
archive,bit_proof_lines_ctb,proof_id,text,YES,,1,Identifier for proof.
archive,bit_proof_lines_ctb,company_unique_id,text,YES,,2,Company identifier. May be UUID (sovereign) or text (Barton ID) depending on table.
archive,bit_proof_lines_ctb,band,integer,YES,,3,Band. May be NULL.
archive,bit_proof_lines_ctb,pressure_class,text,YES,,4,Pressure class. May be NULL.
archive,bit_proof_lines_ctb,sources,ARRAY,YES,,5,Array of sources.
archive,bit_proof_lines_ctb,evidence,jsonb,YES,,6,JSONB data for evidence.
archive,bit_proof_lines_ctb,movement_ids,ARRAY,YES,,7,Array of movement ids.
archive,bit_proof_lines_ctb,human_readable,text,YES,,8,Human readable. May be NULL.
archive,bit_proof_lines_ctb,generated_at,timestamp with time zone,YES,,9,Timestamp when generated occurred.
archive,bit_proof_lines_ctb,valid_until,timestamp with time zone,YES,,10,Valid until. May be NULL.
archive,bit_proof_lines_ctb,generated_by,text,YES,,11,Generated by. May be NULL.
archive,bit_proof_lines_ctb,ctb_archived_at,timestamp with time zone,YES,,12,Timestamp when ctb archived occurred.
archive,bit_signal_752056,signal_id,bigint,NO,nextval('archive.signal_signal_id_seq'::regclass),1,Identifier for signal.
archive,bit_signal_752056,company_id,bigint,YES,,2,Identifier for company.
archive,bit_signal_752056,reason,text,NO,,3,Reason.
archive,bit_signal_752056,payload,jsonb,YES,,4,JSONB data for payload.
archive,bit_signal_752056,created_at,timestamp with time zone,YES,now(),5,Timestamp when this record was created.
archive,bit_signal_752056,processed_at,timestamp with time zone,YES,,6,Timestamp when processed occurred.
archive,blog_pressure_signals_ctb,signal_id,uuid,YES,,1,Identifier for signal.
archive,blog_pressure_signals_ctb,company_unique_id,text,YES,,2,Company identifier. May be UUID (sovereign) or text (Barton ID) depending on table.
archive,blog_pressure_signals_ctb,signal_type,character varying,YES,,3,Classification type for signal.
archive,blog_pressure_signals_ctb,pressure_domain,USER-DEFINED,YES,,4,Pressure domain. May be NULL.
archive,blog_pressure_signals_ctb,pressure_class,USER-DEFINED,YES,,5,Pressure class. May be NULL.
archive,blog_pressure_signals_ctb,signal_value,jsonb,YES,,6,JSONB data for signal value.
archive,blog_pressure_signals_ctb,magnitude,integer,YES,,7,Magnitude. May be NULL.
archive,blog_pressure_signals_ctb,detected_at,timestamp with time zone,YES,,8,Timestamp when detected occurred.
archive,blog_pressure_signals_ctb,expires_at,timestamp with time zone,YES,,9,Timestamp when expires occurred.
archive,blog_pressure_signals_ctb,correlation_id,uuid,YES,,10,UUID linking this record to the broader operation for audit trail.
archive,blog_pressure_signals_ctb,source_record_id,text,YES,,11,Original record ID from the source system.
archive,blog_pressure_signals_ctb,created_at,timestamp with time zone,YES,,12,Timestamp when this record was created.
archive,blog_pressure_signals_ctb,ctb_archived_at,timestamp with time zone,YES,,13,Timestamp when ctb archived occurred.
archive,blog_pressure_signals_ctb,signal_source,text,YES,,14,Signal source. May be NULL.
archive,company_company_752287,company_id,bigint,NO,nextval('archive.company_company_id_seq'::regclass),1,Identifier for company.
archive,company_company_752287,company_name,text,YES,,2,Company name.
archive,company_company_752287,ein,text,YES,,3,9-digit Employer Identification Number. No dashes.
archive,company_company_752287,website_url,text,YES,,4,Full website URL with protocol.
archive,company_company_752287,linkedin_url,text,YES,,5,LinkedIn profile URL.
archive,company_company_752287,news_url,text,YES,,6,URL for news.
archive,company_company_752287,address_line1,text,YES,,7,Address line1. May be NULL.
archive,company_company_752287,address_line2,text,YES,,8,Address line2. May be NULL.
archive,company_company_752287,city,text,YES,,9,City name.
archive,company_company_752287,state,text,YES,,10,US state code.
archive,company_company_752287,postal_code,text,YES,,11,5-digit US ZIP code.
archive,company_company_752287,country,text,YES,,12,Country code.
archive,company_company_752287,renewal_month,smallint,YES,,13,Plan renewal month (1-12).
archive,company_company_752287,renewal_notice_window_days,integer,YES,120,14,Renewal notice window days. May be NULL.
archive,company_company_752287,last_site_checked_at,timestamp with time zone,YES,,15,Timestamp when last site checked occurred.
archive,company_company_752287,last_linkedin_checked_at,timestamp with time zone,YES,,16,Timestamp when last linkedin checked occurred.
archive,company_company_752287,last_news_checked_at,timestamp with time zone,YES,,17,Timestamp when last news checked occurred.
archive,company_company_events_ctb,id,integer,YES,,1,Id. May be NULL.
archive,company_company_events_ctb,company_unique_id,text,YES,,2,Company identifier. May be UUID (sovereign) or text (Barton ID) depending on table.
archive,company_company_events_ctb,event_type,text,YES,,3,Type of audit event.
archive,company_company_events_ctb,event_date,date,YES,,4,Event date. May be NULL.
archive,company_company_events_ctb,source_url,text,YES,,5,URL for source.
archive,company_company_events_ctb,summary,text,YES,,6,Summary. May be NULL.
archive,company_company_events_ctb,detected_at,timestamp without time zone,YES,,7,Timestamp when detected occurred.
archive,company_company_events_ctb,impacts_bit,boolean,YES,,8,Whether impacts bit. Boolean.
archive,company_company_events_ctb,bit_impact_score,integer,YES,,9,Score for bit impact.
archive,company_company_events_ctb,created_at,timestamp without time zone,YES,,10,Timestamp when this record was created.
archive,company_company_events_ctb,archived_at,timestamp with time zone,YES,,11,Timestamp when this record was moved to archive.
archive,company_company_master_ctb,company_unique_id,text,YES,,1,Company identifier. May be UUID (sovereign) or text (Barton ID) depending on table.
archive,company_company_master_ctb,company_name,text,YES,,2,Company name.
archive,company_company_master_ctb,website_url,text,YES,,3,Full website URL with protocol.
archive,company_company_master_ctb,industry,text,YES,,4,Industry classification.
archive,company_company_master_ctb,employee_count,integer,YES,,5,Approximate employee count.
archive,company_company_master_ctb,company_phone,text,YES,,6,Company phone. May be NULL.
archive,company_company_master_ctb,address_street,text,YES,,7,Address street. May be NULL.
archive,company_company_master_ctb,address_city,text,YES,,8,Address city. May be NULL.
archive,company_company_master_ctb,address_state,text,YES,,9,Address state. May be NULL.
archive,company_company_master_ctb,address_zip,text,YES,,10,Address zip. May be NULL.
archive,company_company_master_ctb,address_country,text,YES,,11,Address country. May be NULL.
archive,company_company_master_ctb,linkedin_url,text,YES,,12,LinkedIn profile URL.
archive,company_company_master_ctb,facebook_url,text,YES,,13,URL for facebook.
archive,company_company_master_ctb,twitter_url,text,YES,,14,URL for twitter.
archive,company_company_master_ctb,sic_codes,text,YES,,15,Sic codes. May be NULL.
archive,company_company_master_ctb,founded_year,integer,YES,,16,Founded year. May be NULL.
archive,company_company_master_ctb,keywords,ARRAY,YES,,17,Array of keywords.
